id,count,excerptpostid,pageid
328,101,28305,0
329,136,64824,0
332,12,,0
333,58,64391,0
334,32,46725,0
336,79,59373,0
337,385,63459,0
338,93,32514,0
340,386,8577,0
341,13,,0
342,72,,0
345,48,65560,0
346,18,65571,0
700,40,,0
347,224,65622,1
348,110,,1
349,81,65155,1
351,23,,1
353,149,48003,1
354,75,67822,1
355,56,28280,1
356,441,28453,1
357,177,65139,1
358,26,9861,1
359,350,28667,1
361,157,28266,1
362,175,69060,1
363,28,,1
364,3,,1
368,11,80690,1
369,2,80679,1
373,70,,1
377,120,63410,1
378,581,17765,1
379,412,50711,1
380,53,,1
383,520,33253,1
384,67,47335,1
386,211,28927,1
387,3,65823,1
388,58,,1
389,42,,1
390,80,,1
391,32,40915,1
393,5,,1
394,13,,1
396,46,,1
397,92,69301,1
398,150,2601,1
399,42,65742,1
401,245,63404,1
402,10,16367,1
403,244,14282,1
405,210,28902,1
406,50,,1
407,30,,1
409,199,65137,1
410,17,,1
411,9,80688,1
412,9,,1
414,289,64377,1
416,39,,1
419,108,69311,1
420,136,62162,1
421,142,68063,1
422,24,,1
423,101,62164,1
425,636,21883,1
427,342,64221,1
428,4,,1
429,139,65141,1
430,743,14121,1
436,267,28303,1
437,12,,1
438,68,68977,1
441,56,66542,1
442,248,28794,1
443,253,31288,1
446,27,63087,1
447,154,,1
448,15,80394,1
449,247,15345,1
451,174,21867,1
452,33,,1
454,123,65147,1
455,111,,1
459,21,,1
460,4,,1
461,15,,1
462,128,68614,1
463,153,40435,1
465,320,61881,1
467,331,65135,1
469,319,33488,1
471,45,,1
473,97,92319,1
476,89,,1
478,6,,1
480,35,,1
481,357,28411,1
486,54,35793,1
488,27,,1
489,215,62169,1
490,158,,1
491,16,,1
492,111,33729,1
493,118,31987,1
494,18,,1
495,186,40433,1
497,12,,1
498,90,68627,1
499,208,65588,1
501,144,38344,1
505,261,8946,1
507,300,41299,1
508,60,14115,1
509,249,28259,1
510,91,,1
516,32,90804,1
517,40,68750,1
518,41,63299,1
523,30,99291,1
525,36,9210,1
529,1165,20486,1
530,5,80677,1
531,81,68712,1
532,28,69052,1
533,40,40834,1
534,154,40431,1
537,44,,1
538,181,15654,1
539,8,,1
540,42,15332,1
541,154,55903,1
546,155,63563,1
550,105,64665,1
551,2,65511,1
553,12,80776,1
554,201,28261,1
556,3,,1
557,22,,1
558,84,40523,1
559,60,62688,1
560,24,65331,1
562,21,79744,1
563,62,62404,1
564,141,38880,1
565,119,28268,1
567,7,,1
569,105,58823,1
571,5,,1
572,21,63374,1
574,30,,1
575,153,68621,1
579,7,80774,1
580,29,63310,1
585,21,62885,1
586,14,65323,1
587,158,86028,1
589,190,61386,1
591,380,28792,1
592,36,28774,1
594,39,65337,1
595,24,62233,1
596,8,,1
597,91,62620,1
599,12,,1
601,78,68824,1
602,70,,1
603,121,40438,1
605,22,94287,1
608,15,80705,1
616,138,,1
617,119,19849,1
619,26,90946,1
620,106,66505,1
621,429,28535,1
622,74,65167,1
623,135,62166,1
627,11,,1
628,160,32711,1
629,33,,1
631,329,30438,1
632,92,40521,1
633,10,,1
634,121,63406,1
636,514,33484,1
639,34,,1
640,131,99598,1
641,24,80780,1
642,78,8362,1
644,35,,1
648,25,65326,1
652,39,18635,1
653,33,70887,1
656,138,62322,1
661,44,93186,1
663,44,28282,1
667,60,68570,1
668,74,62332,1
669,49,,1
672,29,,1
673,10,,1
675,91,65816,1
676,72,35463,1
685,5,,1
688,76,71183,1
691,67,,1
694,170,47332,1
697,32,,1
702,22,67080,2
703,56,,2
704,28,92489,2
708,282,38342,2
712,16,,2
717,158,62160,2
720,22,28278,2
721,63,62442,2
722,40,67819,2
725,18,65328,2
726,32,10756,2
730,95,64374,2
731,473,28224,2
732,108,79086,2
733,31,74031,2
735,7,80778,2
736,47,,2
737,76,68540,2
738,153,29148,2
739,47,,2
740,70,65169,2
741,9,,2
742,875,10273,2
743,10,,2
746,11,,2
748,30,,2
749,13,,2
752,34,,2
753,123,29931,2
754,36,,2
755,22,,2
758,22,,2
759,24,22111,2
760,23,87546,2
761,29,,2
762,46,,2
764,14,79453,2
765,22,,2
769,267,28297,2
770,40,,2
771,17,69108,2
772,68,,2
778,13,,2
779,66,63090,2
781,55,47317,2
783,36,63445,2
785,151,41502,2
786,17,,2
787,4,,2
788,7,62936,2
791,37,,2
793,11,,2
796,11,,2
800,27,,2
801,21,84223,2
802,121,65145,2
804,170,40683,2
805,15,45196,2
807,143,8842,2
808,86,50413,2
809,74,62406,2
810,44,65209,2
811,18,,2
813,225,30618,2
816,10,,2
820,39,68986,2
823,64,,2
825,107,28241,2
826,17,57082,2
827,36,,2
828,69,,2
829,38,65339,2
830,129,40832,2
831,46,63426,2
832,17,80782,2
835,33,,2
839,31,25280,2
840,11,,2
843,29,,2
844,9,,2
847,52,21881,2
849,16,66321,2
850,16,9856,2
851,16,,2
854,70,62518,2
855,39,,2
856,204,38517,2
857,14,,2
861,38,,2
862,8,,2
863,35,68962,2
865,208,40440,2
869,328,28929,2
870,12,,2
873,127,68411,2
875,111,37600,2
877,37,,2
881,23,,2
883,84,,2
885,116,22275,2
886,76,50297,2
887,70,50528,2
890,49,47851,2
892,34,,2
905,21,79438,2
908,9,,2
911,132,,2
912,53,67118,2
913,18,81216,2
914,31,65334,2
915,10,,2
917,20,,2
923,6,,2
924,67,,2
926,65,40836,2
927,77,48858,2
930,27,,2
934,38,65352,2
936,3,,2
937,35,,2
938,266,66456,2
939,19,80695,2
941,5,,2
942,58,60291,2
943,107,63413,2
945,128,65143,2
951,33,34386,2
956,105,76941,2
957,44,45325,2
958,18,46787,2
959,50,63109,2
960,90,41459,2
963,65,,2
964,37,61113,2
967,159,14286,2
968,3,13642,2
969,17,,2
970,34,21865,2
972,6,,2
973,19,,2
975,1624,28327,2
978,87,45728,2
979,111,65020,2
980,37,41631,2
983,6,34122,2
985,51,34124,2
988,53,68903,2
989,4,14609,2
993,20,90223,2
994,141,68971,2
995,9,40944,2
1004,31,80709,2
1006,66,,2
1009,31,81338,2
1010,12,,2
1011,13,79213,2
1013,54,,2
1015,10,,2
1016,151,69281,2
1017,40,,2
1018,20,,2
1031,16,21879,2
1033,167,69285,2
1036,56,,2
1037,8,16420,2
1039,73,,2
1040,13,63342,2
1044,35,,2
1047,101,17909,2
1048,82,43801,2
1049,48,81196,2
1050,66,38034,2
1052,49,67590,2
1054,18,35251,2
1055,5,103651,2
1057,40,68892,2
1058,13,66841,2
1061,13,,2
1064,3,,2
1068,6,,2
1069,13,,2
1070,37,,2
1071,454,36190,2
1073,64,,2
1074,24,,2
1075,16,62913,2
1077,122,65704,2
1079,10,,2
1080,49,28239,2
1081,18,47986,2
1084,10,68991,2
1087,6,,2
1094,4,,2
1095,24,67813,2
1096,28,,2
1097,67,68780,2
1098,57,,2
1100,5,,2
1101,29,,2
1105,3,,2
1106,17,,3
1108,52,,3
1109,61,80392,3
1111,31,,3
1114,60,68537,3
1116,2,,3
1124,20,,3
1126,23,,3
1129,6,,3
1130,14,56102,3
1132,4,,3
1133,8,,3
1134,27,72538,3
1135,20,,3
1136,62,,3
1137,31,,3
1139,225,66443,3
1140,44,80707,3
1143,360,79083,3
1147,64,92270,3
1149,63,99341,3
1150,55,65071,3
1151,50,,3
1154,23,41313,3
1155,28,,3
1156,40,64948,3
1157,53,,3
1158,35,,3
1159,38,,3
1160,63,,3
1161,25,,3
1166,88,80475,3
1167,13,,3
1168,9,21796,3
1169,20,,3
1171,26,47321,3
1174,6,66013,3
1175,51,,3
1177,26,,3
1178,18,,3
1180,36,,3
1183,63,68535,3
1184,16,62891,3
1185,56,55645,3
1186,8,,3
1187,58,47936,3
1190,14,,3
1191,42,66521,3
1198,104,,3
1201,57,,3
1202,26,79219,3
1205,32,62893,3
1209,16,,3
1211,60,67694,3
1212,13,23848,3
1213,132,64735,3
1214,17,,3
1217,60,41311,3
1218,11,66386,3
1220,2,65508,3
1221,2,,3
1224,104,24436,3
1225,15,,3
1227,42,,3
1230,28,,3
1231,108,49035,3
1232,34,,3
1233,32,80368,3
1234,23,71876,3
1235,140,32012,3
1239,28,25853,3
1240,6,66020,3
1242,22,40845,3
1243,117,68610,3
1244,3,,3
1246,28,44122,3
1253,11,,3
1254,6,,3
1257,19,92037,3
1258,45,,3
1259,5,27857,3
1260,81,,3
1262,7,27149,3
1264,18,,3
1266,6,,3
1267,5,,3
1269,6,,3
1270,8,,3
1272,75,,3
1277,8,,3
1278,31,,3
1279,9,,3
1282,10,,3
1284,120,65974,3
1285,42,,3
1287,5,,3
1289,16,,3
1290,13,67811,3
1291,5,,3
1292,5,,3
1293,69,63296,3
1294,5,63376,3
1295,29,103290,3
1297,10,29830,3
1299,61,81698,3
1302,60,,3
1303,6,,3
1304,28,,3
1305,45,79309,3
1306,6,,3
1307,11,,3
1308,16,30241,3
1309,38,30454,3
1310,25,,3
1313,2,,3
1319,15,80693,3
1321,9,65318,3
1322,38,38858,3
1323,36,,3
1324,58,,3
1325,155,32458,3
1327,5,65320,3
1328,19,,3
1329,4,,3
1334,9,38855,3
1336,23,,3
1338,150,65172,3
1339,9,,3
1343,7,37551,3
1344,32,34388,3
1345,38,35244,3
1347,18,,3
1356,45,38860,3
1361,3,,3
1362,77,35734,3
1364,40,38851,3
1368,3,80685,3
1371,35,,3
1372,4,,3
1373,65,,3
1374,103,37549,3
1375,17,54838,3
1380,6,,3
1381,32,,3
1382,2,38473,3
1384,4,,3
1386,4,52881,3
1388,9,49843,3
1390,11,,3
1392,11,,3
1395,75,68567,3
1396,3,40690,3
1397,54,,3
1398,21,40825,3
1402,33,51609,3
1403,21,,3
1404,67,,3
1405,35,,3
1406,3,,3
1412,4,,3
1414,30,44696,3
1415,22,,3
1420,17,,3
1421,15,,3
1423,4,65305,3
1424,7,44810,3
1425,2,44824,3
1428,16,45495,3
1429,17,,3
1431,6,,3
1433,22,46133,3
1435,54,46637,3
1436,2,46727,3
1437,1,46732,3
1438,19,,3
1439,45,,3
1444,6,47834,3
1449,4,65309,3
1451,12,,3
1453,33,49005,3
1454,92,69007,3
1455,24,,3
1457,26,49116,3
1458,22,,3
1460,10,,3
1462,5,77455,3
1463,24,68616,3
1466,1,49879,3
1468,6,,3
1469,4,50294,3
1471,11,,3
1473,7,86514,3
1475,20,,3
1477,4,,3
1479,24,,3
1480,10,51550,3
1482,27,51602,3
1483,1784,51952,3
1484,44,56647,3
1485,3,52549,3
1486,11,,3
1487,92,52547,3
1488,40,,3
1489,18,,3
1491,10,,4
1493,3,,4
1495,2,54602,4
1501,87,55972,4
1502,20,55697,4
1503,1,56028,4
1505,9,,4
1510,8,,4
1513,12,,4
1515,13,,4
1519,8,,4
1526,62,,4
1529,5,,4
1530,37,62155,4
1532,81,103049,4
1534,1,60287,4
1537,6,,4
1540,4,,4
1545,27,61120,4
1548,5,,4
1549,3,61586,4
1550,4,,4
1551,4,,4
1552,11,62978,4
1553,21,62980,4
1554,6,67698,4
1557,20,,4
1558,2,62701,4
1560,109,62343,4
1561,5,63421,4
1562,4,,4
1565,3,62934,4
1567,10,63265,4
1568,28,65535,4
1569,21,,4
1570,6,,4
1572,37,,4
1573,2,80671,4
1577,7,,4
1579,59,81363,4
1580,3,,4
1581,4,80681,4
1582,27,64367,4
1585,103,65303,4
1587,19,64871,4
1590,16,64946,4
1591,2,65076,4
1592,29,69057,4
1593,6,64995,4
1594,7,,4
1596,4,,4
1597,36,66452,4
1599,32,68668,4
1600,4,,4
1601,2,81232,4
1602,2,80667,4
1603,2,67809,4
1604,1,67110,4
1605,1,67217,4
1607,3,,4
1609,2,,4
1610,4,,4
1611,27,76604,4
1613,6,80669,4
1614,6,,4
1615,2,,4
1616,50,68561,4
1619,24,79198,4
1620,4,99045,4
1623,2,68981,4
1624,1,68979,4
1625,21,69044,4
1626,2,69079,4
1627,16,,4
1628,42,69199,4
1629,1,73839,4
1634,34,69680,4
1637,5,71400,4
1638,34,,4
1640,5,74455,4
1643,6,71181,4
1644,8,,4
1645,6,,4
1646,2,81234,4
1647,2,71821,4
1648,63,,4
1649,18,,4
1651,13,,4
1653,7,73934,4
1654,22,74428,4
1656,170,99539,4
1658,14,74430,4
1659,4,72984,4
1660,43,74457,4
1661,1,73890,4
1662,1,73443,4
1663,26,,4
1664,2,,4
1665,3,,4
1666,26,,4
1668,2,,4
1670,1,79672,4
1671,3,,4
1672,47,,4
1673,10,80661,4
1674,22,,4
1676,1,80766,4
1677,3,80665,4
1678,1,80663,4
1679,29,,4
1681,5,,4
1684,7,80673,4
1689,3,,4
1696,2,,4
1697,5,,4
1698,3,,4
1699,7,,4
1701,27,,4
1703,18,,4
1704,5,,4
1706,3,,4
1707,4,,4
1708,1,85832,4
1710,5,85829,4
1712,3,,4
1713,4,82619,4
1714,7,,4
1716,2,,4
1718,2,85823,4
1719,7,,4
1720,8,,4
1721,1,86337,4
1723,5,86549,4
1724,20,86507,4
1726,8,,4
1728,2,,4
1733,25,,4
1735,30,88969,4
1736,19,,4
1738,3,,4
1739,2,,4
1740,4,,4
1744,1,,4
1745,5,,4
1746,3,,4
1748,9,,4
1750,1,,4
1752,5,,4
1753,2,,4
1754,5,,4
1757,1,,4
1758,7,,4
1759,8,93050,4
1760,2,,4
1761,11,,4
1763,9,93739,4
1764,3,,4
1765,5,,4
1766,6,,4
1768,3,,4
1769,8,,4
1770,1,,4
1772,8,,4
1773,9,96235,4
1775,9,96219,4
1777,31,,4
1779,4,,4
1780,4,,4
1783,15,104826,4
1784,5,97865,4
1785,1,,4
1786,3,,4
1787,3,99142,4
1788,1,,4
1789,1,,4
1790,1,,4
1791,1,100217,4
1792,1,,4
1793,2,,4
1794,1,,4
1795,2,,4
1796,11,,4
1797,4,,4
1798,7,,4
1800,1,102938,4
1801,4,,4
1802,1,,4
1803,1,,4
1804,2,,4
1806,2,,4
1809,6,,4
1810,10,109442,4
1812,6,,4
1813,1,,4
1814,1,,4
1815,1,,4
1818,1,,4
1819,3,107659,4
1820,27,107801,4
1822,5,108053,4
1825,1,,4
1826,2,,4
1828,1,,4
1829,3,109367,4
1830,2,,4
1831,2,,4
1835,1,,4
1836,1,,5
1837,1,,5
1839,4,111165,5
1841,1,,5
1842,3,,5
1843,1,,5
1844,1,,5
1845,1,,5
1847,1,,5
1848,1,,5
1849,1,112069,5
1850,1,112071,5
1851,2,,5
1852,1,,5
1853,4,,5
1854,1,,5
1855,1,,5
1856,1,,5
1857,1,,5
1858,2,,5
1859,3,114058,5
1860,1,,5
1861,2,,5
1862,1,,5
1863,2,,5
1864,1,,5
1865,1,,5
1866,1,,5
1867,1,,5
1868,1,,5
1869,1,,5
